img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,index
/games/boxart/full_3502687AmericaFrontccc.jpg,Resident Evil 3: Nemesis,GC,Action,Capcom,Capcom,5.7,0.08,0.06,,0.02,0.0,2003-01-15,,11008
/games/boxart/6684137ccc.jpg,Batman: Dark Tomorrow,GC,Action,Kemco,"HotGen, Ltd.",2.3,0.08,0.06,,0.02,0.0,2003-03-25,,11013
/games/boxart/4232404ccc.jpg,Tomb Raider: Legend,GC,Action,Eidos Interactive,Crystal Dynamics,7.9,0.08,0.06,,0.02,0.0,2006-11-14,,11014
/games/boxart/3826950ccc.jpg,Fatal Frame III: The Tormented,PS2,Action,Tecmo,Tecmo,7.7,0.08,0.04,,0.03,0.01,2005-11-08,,11023
/games/boxart/full_8235791JapanFrontccc.jpg,Zero: Tsukihami no Kamen,Wii,Action,Unknown,Grasshopper Manufacture,7.5,0.08,,0.08,,,,,11024
/games/boxart/full_4400042AmericaFrontccc.jpg,C.O.P.: The Recruit,DS,Action,Ubisoft,Ubisoft,5.7,0.08,0.05,,0.02,0.01,2009-11-03,,11031
/games/boxart/7791341ccc.jpg,Tony Hawk's Pro Skater 3,N64,Sports,Activision,Edge of Reality,8.1,0.08,0.06,,0.02,0.0,2002-08-20,,11040
/games/boxart/262657ccc.jpg,Boxing Fever,GBA,Sports,Majesco,Digital Fiction,7.2,0.08,0.06,,0.02,0.0,2001-10-11,,11047
/games/boxart/full_4536711AmericaFrontccc.jpg,New International Track & Field,DS,Sports,Konami,Sumo Digital,7.4,0.08,0.07,0.0,0.0,0.01,2008-07-22,,11051
/games/boxart/full_5713110AmericaFrontccc.jpg,Stella Deus: The Gate of Eternity,PS2,Strategy,Atlus,Pinegrow,7.3,0.08,0.04,,0.03,0.01,2005-04-26,,11054
/games/boxart/full_6349672AmericaFrontccc.jpg,Madden NFL 08,GC,Sports,EA Sports,EA Tiburon,7.6,0.08,0.06,,0.02,0.0,2007-08-14,,11064
/games/boxart/full_5331336AmericaFrontccc.jpg,NHL 2K7,X360,Sports,2K Sports,2K Sports,8.0,0.08,0.07,,0.0,0.01,2006-09-12,,11070
/games/boxart/full_339467AmericaFrontccc.jpg,FIFA Soccer 2005,GBA,Sports,EA Sports,EA Canada,8.1,0.08,0.06,,0.02,0.0,2004-10-12,,11073
/games/boxart/full_1920942AmericaFrontccc.jpg,FIFA 18,PC,Sports,EA Sports,EA Vancouver,8.0,0.08,,,0.08,0.0,2017-09-29,2018-04-02,11074
/games/boxart/full_knights-contract_802AmericaFront.jpg,Knights Contract,PS3,Action,Namco Bandai,Game Republic,5.8,0.08,0.04,,0.03,0.01,2011-02-22,,11089
/games/boxart/5693298ccc.jpg,Blazing Angels: Squadrons of WWII,XB,Simulation,Ubisoft,Ubisoft Romania,7.0,0.08,0.06,,0.02,0.0,2006-03-23,,11131
/games/boxart/7473971ccc.jpg,Alien Syndrome,PSP,Role-Playing,Sega,Totally Games,4.9,0.08,0.07,,0.0,0.01,2007-07-24,,11133
